신체적	0.47
신호	0.41
신호등	0.5
신혼부부	0.49
신혼여행	0.49
신화	0.55
실감	0.46
실내	0.4
실력	1
실례	1
실망	0.62
실수	0.44
실습	0.5
실시	0.56
실장	0.44
실정	0.53
실제	0.62
실질적	0.54
실천	0.51
실체	0.46
실태	0.49
실패	0
실험	1
실현	0.5
심리	0.44
심리적	0.43
심부름	1
심사	0.42
심장	0.45
심정	0.54
심판	0.49
십이월	0.69
십일월	0.75
싸구려	1
싸움	0.55
싼값	0
쌍둥이	0.51
쓰레기	0.51
쓰레기통	0.54
쓴맛	0
씨름	1
씨앗	1
아가씨	0.4
아기	0.47
아까	0.6
아나운서	0.52
아내	0.36
아드님	1
아들	0
아래	1
아래쪽	0
아래층	0
아랫사람	1
아르바이트	0
아무것	1
아버님	1
아버지	0.51
아빠	1
아쉬움	0.42
아스팔트	0
아시아	0.48
아이	0.5
아이디어	0.28
아이스크림	1
아저씨	0.37
아주머니	1
아줌마	0.33
아침	0.44
아파트	0
아프리카	0.43
아픔	1
악기	0.42
악몽	1
악수	0.51
안개	0.53
안경	0.36
안과	0.49
안내	0.4
안동	0.56
안방	0.39
안부	0.39
안전	0.43
안정	0.52
안주	0.47
안쪽	0
안팎	1
알루미늄	1
알코올	0.27
암시	0.49
암컷	1
압력	1
앞길	0.56
앞날	0.53
앞뒤	0.53
앞문	0.69
앞바다	0.55
앞쪽	0
애인	0.48
애정	0.51
애초	0.46
액세서리	0.38
액수	0.52
앨범	0.55
야간	0.41
야구	0.51
야구장	0.4
야단	0.49
야외	0.49
야채	0.38
약간	0.49
약국	0.55
약속	0.65
약수	0.4
약점	0.41
약품	0.47
약혼녀	1
약혼자	0.48
양국	0.41
양념	1
양력	1
양말	0.42
양배추	0.4
양보	0.52
양복	0.49
양상추	0.33
양식	0.43
양심	0.46
양옆	0.49
양주	0.44
양쪽	0
양파	0.64
얘기	0.48
어깨	0.55
어둠	1
어려움	0.46
어른	1
어린아이	0.45
어린애	0.43
어린이	0.47
어린이날	0.56
어머니	1
어머님	1
어저께	1
어제	0.49
어젯밤	0.49
언니	1
언덕	0.51
언론	1
언어	0.33
얼굴	1
얼마	0.38
얼마간	0.47
얼음	0.54
엄마	0.4
업무	0.4
업종	0.53
업체	0.36
엉덩이	0.48
엉망	0.52
엉터리	0.44
에너지	0.58
에어컨	0
엔진	0.43
엘리베이터	0.33
여가	0.36
여건	0.48
여고생	0.51
여관	0.39
여군	0.53
여권	0.48
여기저기	0.37
여대생	0.48
여동생	0.47
여럿	1
여론	1
여름	1
여름철	0.57
여성	0.53
여왕	0.47
여우	0.5
여유	0.39
여인	0.46
여자	0.45
여직원	0.47
여학생	0.54
여행	0.5
여행사	0.36
역사	0.51
역사가	0.37
역사상	0.44
역사적	0.49
역사학	0.38
역할	0.33
연간	0.48
연결	0.47
연관	0.44
연구	0.44
연구소	0.46
연구실	0.44
연구원	0.47
연구자	0.46
연극	0.56
연기	0.5
연기자	0.47
연두색	0.45
연락	1
연락처	0.54
연령	1
연말	0.35
연설	0.39
연세	0.54
연속	0.51
연습	0.6
연애	0.46
연예인	0.47
연인	0.41
연장	0.47
연주	0.44
연출	0.55
연필	0.44
연합	0.32
연휴	0.48
열기	0.51
열매	0.5
열쇠	0.57
열정	0.54
열차	0.46
열흘	1
염려	1
엽서	0.55
영국	0.51
영남	0.52
영상	0.34
영양	0.45
영어	0.4
영업	0.48
영역	0.57
영웅	1
영하	0.47
영향	0.48
영향력	1
영혼	0.59
영화	0.42
영화관	0.44
영화배우	0.48
영화제	0.52
옆구리	0.38
옆방	0.54
옆집	0.46
예감	0.57
예금	0.44
예방	0.46
예보	0.51
예비	0.47
예산	0.48
예상	0.41
예선	0.5
예술	0.57
예술가	0.45
예술적	0.48
예습	0.51
예식장	0.49
예약	0.57
예외	0.48
예의	0.44
예전	0.46
예절	0.54
예정	0.59
옛날	0.49
옛날이야기	0.53
오늘	1
오늘날	0.44
오락	1
오래간만	0.38
오래전	0.49
오랜만	0.43
오랫동안	0.52
오렌지	0.58
오른발	0.5
오른손	0.37
오른쪽	0
오리	0.41
오븐	1
오빠	1
오염	0
오월	0.71
오이	0.41
오전	0.46
오징어	0.24
오페라	0.38
오피스텔	0.47
오해	0.47
오후	0.44
옥상	0.45
옥수수	0.45
온도	0.41
온돌	0.49
온라인	0.43
온몸	0.53
온종일	0.52
올가을	1
올림픽	1
올여름	1
올해	0.59
옷차림	1
와이셔츠	1
와인	0.48
완성	0.37
완전	0.51
왕비	0.41
왕자	0.36
외갓집	0.49
외과	0.65
외교	0.52
외교관	0.4
외국	0.59
외국어	0.27
